as_of_date,index_name,index_code,ticker,yahoo_ticker,name_cn,name_en,exchange,exchange_cn,weight_pct
2026-06-04,CSI 500,000905,000009,000009.SZ,中国宝安,"China Baoan Group Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.127
2026-06-04,CSI 500,000905,000021,000021.SZ,深科技,"Shenzhen Kaifa Technology Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.412
2026-06-04,CSI 500,000905,000027,000027.SZ,深圳能源,Shenzhen Energy Group Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.109
2026-06-04,CSI 500,000905,000032,000032.SZ,深桑达A,Shenzhen SED Industry Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.095
2026-06-04,CSI 500,000905,000034,000034.SZ,神州数码,"Digital China Group Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.195
2026-06-04,CSI 500,000905,000039,000039.SZ,中集集团,China International Marine Containers (Group) Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.193
2026-06-04,CSI 500,000905,000050,000050.SZ,深天马A,Tianma Microelectronics Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.107
2026-06-04,CSI 500,000905,000060,000060.SZ,中金岭南,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.227
2026-06-04,CSI 500,000905,000062,000062.SZ,深圳华强,Shenzhen Huaqiang Industry Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.116
2026-06-04,CSI 500,000905,000088,000088.SZ,盐田港,Shenzhen Yan Tian Port Holdings Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.088
2026-06-04,CSI 500,000905,000155,000155.SZ,川能动力,SICHUAN NEW ENERGY POWER COMPANY LIMITED,Shenzhen Stock Exchange,深圳证券交易所,0.175
2026-06-04,CSI 500,000905,000400,000400.SZ,许继电气,XJ Electric Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.18
2026-06-04,CSI 500,000905,000415,000415.SZ,渤海租赁,"Bohai Leasing Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.145
2026-06-04,CSI 500,000905,000423,000423.SZ,东阿阿胶,Shandong Dong-Ee Jiao Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.214
2026-06-04,CSI 500,000905,000426,000426.SZ,兴业银锡,"INNER MONGOLIA XINGYE SILVER & TIN MINING CO.,LTD",Shenzhen Stock Exchange,深圳证券交易所,0.535
2026-06-04,CSI 500,000905,000429,000429.SZ,粤高速A,Guangdong Provincial Expressway Development Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.069
2026-06-04,CSI 500,000905,000513,000513.SZ,丽珠集团,Livzon Pharmaceutical Group Inc,Shenzhen Stock Exchange,深圳证券交易所,0.106
2026-06-04,CSI 500,000905,000519,000519.SZ,中兵红箭,"NORTH INDUSTRIES GROUP RED ARROW CO.,LTD",Shenzhen Stock Exchange,深圳证券交易所,0.156
2026-06-04,CSI 500,000905,000528,000528.SZ,柳工,Guangxi Liugong Machinery Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.139
2026-06-04,CSI 500,000905,000537,000537.SZ,绿发电力,"Green Development Electricity Group of Tianjin Co., Ltd",Shenzhen Stock Exchange,深圳证券交易所,0.086
2026-06-04,CSI 500,000905,000539,000539.SZ,粤电力A,Guangdong Electric Power Development Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.075
2026-06-04,CSI 500,000905,000559,000559.SZ,万向钱潮,Wanxiang Qianchao Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.186
2026-06-04,CSI 500,000905,000563,000563.SZ,陕国投A,"Shaanxi International Trust Co.,Ltd",Shenzhen Stock Exchange,深圳证券交易所,0.087
2026-06-04,CSI 500,000905,000582,000582.SZ,北部湾港,"Beibuwan Port Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.13
2026-06-04,CSI 500,000905,000591,000591.SZ,太阳能,"CECEP Solar Energy Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.158
2026-06-04,CSI 500,000905,000598,000598.SZ,兴蓉环境,"Chengdu Xingrong Environment Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.099
2026-06-04,CSI 500,000905,000623,000623.SZ,吉林敖东,"Jilin Aodong Pharmaceutical Group Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.157
2026-06-04,CSI 500,000905,000629,000629.SZ,钒钛股份,"Pangang Group Vanadium Titanium & Resources Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.151
2026-06-04,CSI 500,000905,000657,000657.SZ,中钨高新,China Tungsten and Hightech Materials Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.588
2026-06-04,CSI 500,000905,000683,000683.SZ,博源化工,Inner Mongolia Berun Chemical Company Limited,Shenzhen Stock Exchange,深圳证券交易所,0.178
2026-06-04,CSI 500,000905,000703,000703.SZ,恒逸石化,Hengyi Petrochemical Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.28
2026-06-04,CSI 500,000905,000709,000709.SZ,河钢股份,HESTEEL COMPANY LIMITED,Shenzhen Stock Exchange,深圳证券交易所,0.087
2026-06-04,CSI 500,000905,000723,000723.SZ,美锦能源,"Shanxi Meijin Energy Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.127
2026-06-04,CSI 500,000905,000728,000728.SZ,国元证券,Guoyuan Securities Company Limited,Shenzhen Stock Exchange,深圳证券交易所,0.177
2026-06-04,CSI 500,000905,000729,000729.SZ,燕京啤酒,Beijing Yanjing Brewery Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.171
2026-06-04,CSI 500,000905,000733,000733.SZ,振华科技,China Zhenhua (Group) Science & Technology Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.19
2026-06-04,CSI 500,000905,000738,000738.SZ,航发控制,"AECC AERO-ENGINE CONTROL CO.,LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.143
2026-06-04,CSI 500,000905,000739,000739.SZ,普洛药业,"Apeloa Pharmaceutical Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.091
2026-06-04,CSI 500,000905,000750,000750.SZ,国海证券,"Sealand Securities Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.158
2026-06-04,CSI 500,000905,000783,000783.SZ,长江证券,Changjiang Securities Company Limited,Shenzhen Stock Exchange,深圳证券交易所,0.256
2026-06-04,CSI 500,000905,000785,000785.SZ,居然智家,"EASYHOME NEW RETAIL GROUP CO., LTD",Shenzhen Stock Exchange,深圳证券交易所,0.057
